day,month,weekday,year,isWeekend,isHoliday,customer,subscriber
1,3,2,2017,False,False,1027,39374
1,7,5,2017,True,False,9344,27393
1,10,6,2017,True,False,10477,45028
1,12,4,2017,False,False,2181,48527
2,3,3,2017,False,False,1006,34511
2,7,6,2017,True,False,14786,28250
2,10,0,2017,False,False,5285,60226
2,12,5,2017,True,False,4171,34752
3,3,4,2017,False,False,867,30060
3,7,0,2017,False,False,11551,36642
3,10,1,2017,False,False,4610,64495
3,12,6,2017,True,False,3185,30543
4,3,5,2017,True,False,549,14949
4,7,1,2017,False,True,15987,33937
4,10,2,2017,False,False,5004,66450
4,12,0,2017,False,False,2076,47554
5,3,6,2017,True,False,684,15076
5,7,2,2017,False,False,7054,53267
5,10,3,2017,False,False,5119,65055
5,12,1,2017,False,False,1237,40555
6,3,0,2017,False,False,912,31432
6,7,3,2017,False,False,6118,56029
6,10,4,2017,False,False,6884,63373
6,12,2,2017,False,False,1168,45167
7,3,1,2017,False,False,460,29114
7,7,4,2017,False,False,3983,40085
7,10,5,2017,True,False,15342,48293
7,12,3,2017,False,False,1346,44021
8,3,2,2017,False,False,1764,41408
8,7,5,2017,True,False,13155,41860
8,10,6,2017,True,False,7592,33452
8,12,4,2017,False,False,1244,40086
9,3,3,2017,False,False,1907,42959
9,7,6,2017,True,False,14246,42872
9,10,0,2017,False,True,2520,35871
9,12,5,2017,True,False,378,10426
10,3,4,2017,False,False,222,18129
10,7,0,2017,False,False,5588,55319
10,10,1,2017,False,False,6508,67610
10,12,6,2017,True,False,850,18965
11,3,5,2017,True,False,515,14545
11,7,1,2017,False,False,4654,57017
11,10,2,2017,False,False,4183,59406
11,12,0,2017,False,False,1105,40733
12,3,6,2017,True,False,400,12957
12,7,2,2017,False,False,4469,57317
12,10,3,2017,False,False,3964,57284
12,12,1,2017,False,False,829,41791
13,3,0,2017,False,False,497,26806
13,7,3,2017,False,False,4458,52017
13,10,4,2017,False,False,5611,61409
13,12,2,2017,False,False,488,32135
14,3,1,2017,False,False,0,0
14,7,4,2017,False,False,2004,29847
14,10,5,2017,True,False,11289,47488
14,12,3,2017,False,False,380,27115
15,3,2,2017,False,False,0,0
15,7,5,2017,True,False,14008,42491
15,10,6,2017,True,False,11516,45013
15,12,4,2017,False,False,253,22691
16,3,3,2017,False,False,0,0
16,7,6,2017,True,False,14475,42358
16,10,0,2017,False,False,4245,57485
16,12,5,2017,True,False,624,18436
17,3,4,2017,False,False,221,6808
17,7,0,2017,False,False,5945,56610
17,10,1,2017,False,False,3998,60482
17,12,6,2017,True,False,912,21491
18,3,5,2017,True,False,139,3934
18,7,1,2017,False,False,5826,60408
18,10,2,2017,False,False,4719,65515
18,12,0,2017,False,False,1093,39075
19,3,6,2017,True,False,677,9720
19,7,2,2017,False,False,5618,58297
19,10,3,2017,False,False,5534,66777
19,12,1,2017,False,False,1537,47966
20,3,0,2017,False,False,818,26451
20,7,3,2017,False,False,5103,54560
20,10,4,2017,False,False,7321,64852
20,12,2,2017,False,False,1175,40288
21,3,1,2017,False,False,1155,35456
21,7,4,2017,False,False,6410,53662
21,10,5,2017,True,False,15057,50817
21,12,3,2017,False,False,1240,36352
22,3,2,2017,False,False,410,26396
22,7,5,2017,True,False,11515,36496
22,10,6,2017,True,False,15034,47116
22,12,4,2017,False,False,1531,32810
23,3,3,2017,False,False,796,28920
23,7,6,2017,True,False,10813,36129
23,10,0,2017,False,False,6774,62500
23,12,5,2017,True,False,289,9319
24,3,4,2017,False,False,1152,32672
24,7,0,2017,False,False,3138,40654
24,10,1,2017,False,False,2029,46048
24,12,6,2017,True,False,1375,11841
25,3,5,2017,True,False,3874,25074
25,7,1,2017,False,False,5312,60024
25,10,2,2017,False,False,4438,66849
25,12,0,2017,False,True,1141,5338
26,3,6,2017,True,False,1496,18107
26,7,2,2017,False,False,6724,63599
26,10,3,2017,False,False,3644,60359
26,12,1,2017,False,False,748,13365
27,3,0,2017,False,False,791,25375
27,7,3,2017,False,False,5655,60114
27,10,4,2017,False,False,6503,62765
27,12,2,2017,False,False,669,15696
28,3,1,2017,False,False,256,21237
28,7,4,2017,False,False,7191,56708
28,10,5,2017,True,False,12711,48637
28,12,3,2017,False,False,372,13048
29,3,2,2017,False,False,2180,39977
29,7,5,2017,True,False,12635,40312
29,10,6,2017,True,False,782,8755
29,12,4,2017,False,False,408,13351
30,3,3,2017,False,False,1924,37451
30,7,6,2017,True,False,16886,42456
30,10,0,2017,False,False,2670,46577
30,12,5,2017,True,False,171,5785
31,3,4,2017,False,False,78,6854
31,7,0,2017,False,False,7061,57157
31,10,1,2017,False,False,3637,56605
31,12,6,2017,True,False,218,6351
